Name,Latitude,Longitude
PAR,48.8566,2.3522
ROM,41.9028,12.4964
VCE,45.4408,12.3155
LON,51.5074,-0.1278
BCN,41.3851,2.1734
FLR,43.7696,11.2558
PRG,50.0755,14.4378
VIE,48.2082,16.3738
IST,41.0082,28.9784
AMS,52.368,4.9036
